timestamp,body,source,language_guess,possibly_sensitive,retweet_count,reply_count,like_count,quote_count,impression_count,is_retweet,retweeted_user,is_quote_tweet,quoted_user,is_quote_withheld,is_reply,replied_user,is_withheld,hashtags,urls,mentions,place_name,sentiment
2023-10-21 20:41:56,"Excellent thread pointing out that the USS Carney - after one engagement with Yemeni missiles and drones apparently heading to Israel - is likely ""red"" on antiaircraft ammunition right now, with no easy way to resupply.

Burke-class destroyers have 96 VLS cells, which sounds like… https://t.co/LWmzx7SF0b",Twitter Web App,en,no,116,38,431,12,62481,no,NA,yes,mercoglianos,no,no,,no,,,,,0.1028991511
2023-10-21 13:23:17,"PART 1) 💥💥

Why would would Trump use that word 2 times? https://t.co/bY60VYu2lh",Twitter for Android,en,no,304,93,1308,8,230283,no,NA,no,,no,no,,no,,,,,-0.03333333333
2023-10-20 9:33:07,"💥Get rid of all the dirt &amp; dust you couldn’t reach before! Clean like a pro!😎
✅ Cleans up every corner of your home and car,
✅ Portable and Wireless handheld design,
✅ Strong suction power,
Get it👉https://t.co/16j5OODj6Q https://t.co/NhaEr98Lar",Twitter for Advertisers,en,no,3,0,20,0,66119,no,NA,no,,no,no,,no,,https://vintify.co/E6618,,,-0.3466876226
2023-10-21 19:54:15,"A short history of ""Halloween"" celebration in Russia
5000 BC - 1995 AD: no one celebrates Halloween
1995-2005: Small fraction of westaboo youngsters start dressing up and going to bars
2005-2015: Peak popularity of halloween, kids are having fun with pumpkins, english teachers at…",Twitter Web App,en,no,129,76,1065,15,97043,no,NA,no,,no,no,,no,,,,,0.2081665999
2023-10-21 21:08:32,"🇮🇱 An Israeli woman MOCKS the thousands of Palestinian mothers in Gaza whose children were murdered in Israeli airstrikes &amp; whose children are still buried under rubble as BOMBE continue to drop every 15 minutes.
 https://t.co/mqnxz9ve4x",Twitter for iPhone,en,no,9867,3805,22674,1830,1238914,no,NA,no,,no,no,,no,,,,,-0.4003786087
2023-10-21 13:49:50,"New Israeli ""Investigation"" Proves Only Six Persons Killed in Hospital Blast and All Were Jewish.

https://t.co/vFMA1dLhHL",Twitter Web App,en,no,931,338,3801,100,232203,no,NA,no,,no,no,,no,,https://nypost.com/2023/10/19/several-dozen-dead-in-gaza-city-hospital-blast-not-471-israel-says/,,,0.1032795559
2023-10-21 16:36:54,"A picture is worth a thousand words.

Praying for peace. 

❤️ https://t.co/D4lA0ISsYR",Twitter for iPhone,en,no,14830,6384,63829,864,3750443,no,NA,no,,no,no,,no,,,,,0.2834733548
2023-10-21 17:11:38,"We know, as Jews, the consequences of dehumanization, ghettoization, denial of food &amp; medicine, the warning signs of fascism. We know what it is like to have the world, the US, ignore our cries to live. We know as Jews what it is like to be penned in &amp; systemically slaughtered.🧵",Twitter for iPhone,en,no,4203,352,13969,187,627645,no,NA,no,,no,no,,no,,,,"Delaware, USA",-0.8373674286
2023-10-21 15:05:40,"Ukraine was ready to sign a peace agreement with Russia but the US Govt did not allow it. Confirmed by Gerhard Schroeder, former leader of Germany. https://t.co/2VNlTDPbhr",Twitter Web App,en,no,7353,523,15476,457,1107351,no,NA,no,,no,no,,no,,,,,0.4242640687
2023-10-21 15:29:33,"Exactly one year ago today, I was released from federal prison where I was held hostage as a January 6th Political Prisoner.

Today, I am running for US Congress so I can take this battle to their front door the same way they brought it to mine.

Let’s Save America 💪🇺🇸 https://t.co/ngVYuKbnYC",Twitter for iPhone,en,no,5075,603,18402,119,220120,no,NA,no,,no,no,,no,,,,,-0.4264014327
2023-10-21 15:57:30,"I just want to mention something that a lot of people might not know.  Not only is Gaza one of the most densely populated areas on earth, it is also one of the most highly educated populations on earth.  I think there are more advanced degrees per capita in Gaza than any major…",Twitter Web App,en,no,5879,336,14328,189,609377,no,NA,no,,no,no,,no,,,,,0
2023-10-21 20:39:18,Those powers of Islamic World who dream still of mediation and normalization of Israeli-Palestine conflict are traitors of Islam and of humanity. The islamic world needs the consolidation and solidarity -- not palliatives that already undermined Islamic unity. Stay strong - form…,Twitter Web App,en,no,906,264,2548,178,140099,no,NA,no,,no,no,,no,,,,,-0.1876629727
2023-10-21 21:03:12,Russia stays with Palestine. It is sure and fixed. We are on the side of the Justice. We have nothing against Israel. And we share its pain after the terrorist attack of HAMAS. But we stay for Justice. And the Justice can not be on the side of evil. The Western globalism is evil.…,Twitter Web App,en,no,715,273,2567,61,111854,no,NA,no,,no,no,,no,,,,,0
2023-10-21 21:05:29,"I am peace activist 
Stop 🛑 foto shopping me into such memes
I want Israel 🇮🇱 in NATO 
I want Palestine 🇵🇸 Neutralized 
I want Gaza under EU, NATO Mandate
I want #ExHamas 
Nothing else, nothing less, or more 
Peace ✌️ by NATO! https://t.co/bsHtlayJMy",Twitter for iPhone,en,no,171,111,1056,98,70034,no,NA,no,,no,no,,no,ExHamas,,,,0.336269123
2023-10-21 14:21:56,"Taxpayers were forced to pay George Floyd’s family $27,000,000 after he died from an overdose in police custody in 2020.

Now that medical documents have proven Derek Chauvin did not kill him, should his family be ordered to give taxpayers their money back? https://t.co/RNnKF4w4Xv",Twitter for iPhone,en,no,12840,7787,63718,1034,4411968,no,NA,no,,no,no,,no,,,,,-0.5161854012
